step,epoch,task_id,action,reward,avg_reward
1,1,easy_refund_001,lookup_order,0.0045,0.0045
2,1,easy_refund_001,check_account,-0.0152,-0.0053
3,1,easy_refund_001,process_refund,-0.0092,-0.0066
4,1,easy_refund_001,resolve,0.4468,0.1067
5,1,easy_password_001,check_account,-0.0335,0.0787
6,1,easy_password_001,search_kb,-0.0184,0.0625
7,1,easy_password_001,send_response,0.0127,0.0554
8,1,easy_password_001,resolve,0.4466,0.1043
9,1,easy_cancel_001,check_account,-0.0269,0.0897
10,1,easy_cancel_001,search_kb,0.0243,0.0832
11,1,easy_cancel_001,send_response,0.0048,0.0761
12,1,easy_cancel_001,resolve,0.4573,0.1078
13,1,easy_delivery_001,lookup_order,0.0241,0.1014
14,1,easy_delivery_001,send_response,0.0105,0.0949
15,1,easy_delivery_001,resolve,0.4233,0.1168
16,1,easy_update_001,search_kb,-0.0060,0.1091
17,1,easy_update_001,send_response,0.0208,0.1039
18,1,easy_update_001,resolve,0.4511,0.1232
19,1,med_chargeback_001,lookup_order,0.0388,0.1188
20,1,med_chargeback_001,check_account,-0.0016,0.1127
21,1,med_chargeback_001,search_kb,0.0017,0.1126
22,1,med_chargeback_001,escalate,0.1424,0.1205
23,1,med_chargeback_001,resolve,0.2686,0.1344
24,1,med_partial_refund_001,lookup_order,0.0242,0.1132
25,1,med_partial_refund_001,check_account,-0.0268,0.1136
26,1,med_partial_refund_001,search_kb,-0.0005,0.1145
27,1,med_partial_refund_001,process_refund,-0.0373,0.1120
28,1,med_partial_refund_001,resolve,0.3145,0.1054
29,1,hard_fraud_001,check_account,0.0423,0.1088
30,1,hard_fraud_001,flag_security,0.1403,0.1146
31,1,hard_fraud_001,escalate,0.0664,0.1177
32,1,hard_fraud_001,resolve,0.0159,0.0956
33,1,hard_abuse_001,check_account,0.0291,0.0959
34,1,hard_abuse_001,search_kb,-0.0038,0.0952
35,1,hard_abuse_001,send_response,-0.0161,0.0732
36,1,hard_abuse_001,resolve,0.3630,0.0917
37,1,hard_gdpr_001,check_account,0.0277,0.0920
38,1,hard_gdpr_001,flag_security,0.1332,0.0761
39,1,hard_gdpr_001,search_kb,0.0043,0.0744
40,1,hard_gdpr_001,escalate,0.1001,0.0795
41,1,hard_gdpr_001,resolve,-0.0015,0.0793
42,2,easy_refund_001,lookup_order,0.1608,0.0802
43,2,easy_refund_001,check_account,0.1029,0.0719
44,2,easy_refund_001,process_refund,0.1450,0.0780
45,2,easy_refund_001,resolve,0.6040,0.1095
46,2,easy_password_001,check_account,0.1711,0.1181
47,2,easy_password_001,search_kb,0.1416,0.1270
48,2,easy_password_001,send_response,0.1511,0.1189
49,2,easy_password_001,resolve,0.5834,0.1459
50,2,easy_cancel_001,check_account,0.1618,0.1470
51,2,easy_cancel_001,search_kb,0.1338,0.1504
52,2,easy_cancel_001,send_response,0.1450,0.1568
53,2,easy_cancel_001,resolve,0.6543,0.1881
54,2,easy_delivery_001,lookup_order,0.1248,0.1945
55,2,easy_delivery_001,send_response,0.1655,0.2036
56,2,easy_delivery_001,resolve,0.5939,0.2151
57,2,easy_update_001,search_kb,0.1642,0.2220
58,2,easy_update_001,send_response,0.1529,0.2229
59,2,easy_update_001,resolve,0.6333,0.2544
60,2,med_chargeback_001,lookup_order,0.1649,0.2576
61,2,med_chargeback_001,check_account,0.1278,0.2641
62,2,med_chargeback_001,search_kb,0.1522,0.2637
63,2,med_chargeback_001,escalate,0.2476,0.2709
64,2,med_chargeback_001,resolve,0.3935,0.2833
65,2,med_partial_refund_001,lookup_order,0.1441,0.2603
66,2,med_partial_refund_001,check_account,0.1513,0.2593
67,2,med_partial_refund_001,search_kb,0.1772,0.2611
68,2,med_partial_refund_001,process_refund,0.1462,0.2609
69,2,med_partial_refund_001,resolve,0.4767,0.2555
70,2,hard_fraud_001,check_account,0.1310,0.2540
71,2,hard_fraud_001,flag_security,0.2371,0.2592
72,2,hard_fraud_001,escalate,0.2577,0.2648
73,2,hard_fraud_001,resolve,0.1520,0.2397
74,2,hard_abuse_001,check_account,0.1623,0.2416
75,2,hard_abuse_001,search_kb,0.1444,0.2405
76,2,hard_abuse_001,send_response,0.1332,0.2175
77,2,hard_abuse_001,resolve,0.5365,0.2361
78,2,hard_gdpr_001,check_account,0.1222,0.2346
79,2,hard_gdpr_001,flag_security,0.2587,0.2158
80,2,hard_gdpr_001,search_kb,0.1420,0.2147
81,2,hard_gdpr_001,escalate,0.2492,0.2208
82,2,hard_gdpr_001,resolve,0.1775,0.2220
83,3,easy_refund_001,lookup_order,0.3040,0.2248
84,3,easy_refund_001,check_account,0.2972,0.2200
85,3,easy_refund_001,process_refund,0.3147,0.2286
86,3,easy_refund_001,resolve,0.7640,0.2592
87,3,easy_password_001,check_account,0.2984,0.2652
88,3,easy_password_001,search_kb,0.3065,0.2733
89,3,easy_password_001,send_response,0.2806,0.2635
90,3,easy_password_001,resolve,0.7330,0.2936
91,3,easy_cancel_001,check_account,0.2907,0.2962
92,3,easy_cancel_001,search_kb,0.2824,0.2975
93,3,easy_cancel_001,send_response,0.3272,0.3062
94,3,easy_cancel_001,resolve,0.7954,0.3379
95,3,easy_delivery_001,lookup_order,0.2971,0.3455
96,3,easy_delivery_001,send_response,0.3289,0.3553
97,3,easy_delivery_001,resolve,0.7755,0.3673
98,3,easy_update_001,search_kb,0.2963,0.3760
99,3,easy_update_001,send_response,0.2653,0.3763
100,3,easy_update_001,resolve,0.7752,0.4080
101,3,med_chargeback_001,lookup_order,0.3023,0.4106
102,3,med_chargeback_001,check_account,0.2536,0.4144
103,3,med_chargeback_001,search_kb,0.2997,0.4142
104,3,med_chargeback_001,escalate,0.3950,0.4191
105,3,med_chargeback_001,resolve,0.5468,0.4307
106,3,med_partial_refund_001,lookup_order,0.2766,0.4063
107,3,med_partial_refund_001,check_account,0.3284,0.4078
108,3,med_partial_refund_001,search_kb,0.3207,0.4085
109,3,med_partial_refund_001,process_refund,0.3247,0.4107
110,3,med_partial_refund_001,resolve,0.6515,0.4067
111,3,hard_fraud_001,check_account,0.3118,0.4077
112,3,hard_fraud_001,flag_security,0.4155,0.4144
113,3,hard_fraud_001,escalate,0.3783,0.4169
114,3,hard_fraud_001,resolve,0.2488,0.3896
115,3,hard_abuse_001,check_account,0.2736,0.3884
116,3,hard_abuse_001,search_kb,0.2685,0.3854
117,3,hard_abuse_001,send_response,0.2346,0.3584
118,3,hard_abuse_001,resolve,0.6981,0.3785
119,3,hard_gdpr_001,check_account,0.2947,0.3799
120,3,hard_gdpr_001,flag_security,0.4326,0.3628
121,3,hard_gdpr_001,search_kb,0.2733,0.3613
122,3,hard_gdpr_001,escalate,0.4061,0.3690
123,3,hard_gdpr_001,resolve,0.2741,0.3677
